cell_id,predicted_class,confidence_percent,second_class,second_confidence_percent,prediction_margin_percent,segmented_area,purple_score,gradcam_available,shap_available
65,myeloblast,93.27551126480103,erythroblast,3.650537133216858,89.62497413158417,631.0,50.24603271484375,True,True
33,myeloblast,90.46623110771179,basophil,5.662765726447105,84.80346538126469,895.0,47.4012336730957,True,True
4,myeloblast,90.37834405899048,basophil,9.32943969964981,81.04890435934067,598.0,52.029361724853516,True,True
31,myeloblast,89.18981552124023,erythroblast,5.636894330382347,83.55292119085789,647.0,52.83359146118164,True,True
52,myeloblast,87.53060102462769,monocyte,6.785404682159424,80.74519634246826,822.0,48.79754638671875,True,True
1,myeloblast,77.50183343887329,basophil,20.211537182331085,57.290296256542206,446.0,53.45661926269531,True,True
