cell_id,area,x,y,width,height,purple_score,predicted_class,confidence,confidence_percent
94,230,710,308,18,17,38.80316925048828,erythroblast,0.9960978,99.60978
40,246,488,215,19,17,38.662994384765625,erythroblast,0.9969644,99.69644
91,295,623,306,18,20,37.89259338378906,erythroblast,0.9997092,99.97092
99,194,55,314,16,17,37.71808624267578,erythroblast,0.9985655,99.85655
97,362,649,310,24,19,37.586509704589844,erythroblast,0.9999422,99.99422
165,238,302,491,17,20,37.46428680419922,erythroblast,0.9994816,99.94816
95,259,727,310,18,20,36.8436279296875,erythroblast,0.99362034,99.36203
188,150,228,607,16,12,36.39666748046875,erythroblast,0.9999312,99.99312
110,289,162,337,19,19,36.33529281616211,erythroblast,0.9996203,99.96203
105,317,25,332,18,22,36.22297286987305,erythroblast,0.9998963,99.98963
109,211,6,337,11,24,36.1363639831543,erythroblast,0.9999291,99.992905
78,389,615,280,23,27,35.86693572998047,erythroblast,0.9998491,99.98491
65,358,238,264,23,22,35.71241760253906,erythroblast,0.9997863,99.97863
100,316,603,316,22,20,35.63111877441406,erythroblast,0.99991536,99.99154
42,317,454,224,21,19,35.516605377197266,erythroblast,0.9998622,99.98622
102,310,171,318,20,20,35.39836120605469,erythroblast,0.99964094,99.964096
